OBJECTID_x,ID,pH,As,Cd,Ni,Pb,Zn,Hg,slope,altitude,profile_curve,profile_c_num,profile_c_abs,planform_curve,planform_c_num,planform_c_abs,HYDGRP,HYDGRP_A,HYDGRP_B,HYDGRP_C,HYDGRP_D,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1,distance
1256,GG-DMD-S-9,5.9,2.32,0.035,0.95,,,0,13.9691,338.7850037,-0.019332699,0.019332699,0,-1.477949977,1.477949977,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.75244674
1257,GG-DMD-S-10,5.11,1.49,0.152,1.32,,,0,19.72669983,325.3380127,0.784382999,0.784382999,1,0.023396701,0.023396701,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.73870129
1258,GG-DMD-S-11,5.62,1.63,0.16,2.08,,,0,9.647830009,318.4909973,0.236939996,0.236939996,1,0.382568985,0.382568985,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.72327544
1259,GG-DMD-S-12,5.41,1.93,0.035,1.14,,,0,10.82330036,301.3299866,-0.128114,0.128114,0,-0.071961902,0.071961902,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.64330093
1260,GG-DMD-S-13,5.23,1.96,0.152,1.05,,,0,10.82330036,301.3299866,-0.128114,0.128114,0,-0.071961902,0.071961902,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.64330093
1261,GG-DMD-S-14,5.35,1.65,0.055,1.55,,,0,14.06639957,295.3540039,0.199456006,0.199456006,1,0.160271004,0.160271004,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.60812061
1262,GG-DMD-S-15,5.53,2.08,0.12,2.2,,,0,18.69260025,286.7909851,0.453574985,0.453574985,1,0.154379994,0.154379994,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.57203838
1263,GG-DMD-S-16,5.27,1.57,0.115,1.45,,,0,18.69260025,286.7909851,0.453574985,0.453574985,1,0.154379994,0.154379994,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.57203838
1264,GG-DMD-S-17,6.31,1.88,0.035,0.84,,,0,12.32820034,266.4440002,-0.165604994,0.165604994,0,0.0106644,0.0106644,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.50052072
1265,GG-DMD-S-18,4.98,1.31,0.06,3.83,,,0,10.82649994,249.8190002,0.168688998,0.168688998,1,-0.313915998,0.313915998,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.43679232
1266,GG-DMD-S-19,5.21,1.72,0.152,0.15,,,0,10.82649994,249.8190002,0.168688998,0.168688998,1,-0.313915998,0.313915998,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.43679232
1267,GG-DMD-S-20,5.07,2.22,0.152,0.4,,,0,15.34039974,233.2359924,-0.051690102,0.051690102,0,-0.617913008,0.617913008,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.36733949
1268,GG-DMD-S-21,6.13,1.32,0.152,0,,,0,12.49090004,221.279007,-0.212507993,0.212507993,0,0.0256512,0.0256512,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.34062482
1269,GG-DMD-S-22,6.34,2.2,0.005,0.56,,,0,16.33860016,206.5700073,1.532799959,1.532799959,1,-0.950960994,0.950960994,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.30164779
1270,GG-DMD-S-23,6.3,2.29,0.152,0,,,0,16.33860016,206.5700073,1.532799959,1.532799959,1,-0.950960994,0.950960994,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.30164779
1271,GG-DMD-S-24,6.07,2.03,0.04,0.47,,,0,7.676249981,199.2570038,0.0810242,0.0810242,1,-0.303802997,0.303802997,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.25700048
1272,GG-DMD-S-25,6.26,1.72,0.152,0.06,,,0,26.50860023,168.423996,1.465370059,1.465370059,1,0.362771004,0.362771004,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.14691495
1273,GG-DMD-S-26,5.6,0.81,0.152,0,,,0,15.00800037,162.878006,-1.277220011,1.277220011,0,-0.036559101,0.036559101,0,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,44.18101205
1274,GG-DMD-S-27,5.64,1.23,0.152,0,,,0,15.00800037,162.878006,-1.277220011,1.277220011,0,-0.036559101,0.036559101,0,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,44.18101205
1275,GG-DMD-S-28,5.57,1.99,0.152,0.18,,,0,14.36209965,191.2590027,0.166690007,0.166690007,1,-1.727900028,1.727900028,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.2692166
1276,GG-DMD-S-29,5.19,1.4,0.152,0.32,,,0,10.79839993,191.5480042,-0.135932997,0.135932997,0,0.339226007,0.339226007,1,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.29957355
