,OBJECTID_x,ID,Lon,Lan,pH,As,Cd,Ni,Pb,Zn,Hg,lon_degree,lon_minute,lon_sec,lan_degree,lan_minute,lan_sec,slope,hankang1,profile_cu,planform_c,SOILSY,SNAME,hsg,HSG_CODE,OBJECTID_y,MUID,CMPPCT,HYDGRP,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1
16,17,KW-YH-S-10,129.1235,37.10138889,6.06,0.32,0.72,48.28,559.57, ,0,129,7,24.6,37,6,5,13.31610012,686.6560059,-0.256848007,3.146719933,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
17,18,KW-YH-S-11,129.1254444,37.1035,6.04,8.9,4.595,27.04,"1,165.60", ,0,129,7,31.6,37,6,12.6,36.98529816,595.4890137,-1.772930026,4.344739914,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
18,19,KW-YH-S-12,129.1254444,37.1035,7.55,75.13,5.26,24.06,"1,935.50", ,0,129,7,31.6,37,6,12.6,36.98529816,595.4890137,-1.772930026,4.344739914,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
19,20,KW-YH-S-13,129.1242222,37.10927778,8.27,8.99,3.02,18.66,"2,683.50", ,0,129,7,27.2,37,6,33.4,42.61669922,376.1300049,-0.785187006,-0.484039992,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
20,21,KW-YH-S-14,129.1508611,37.10875,7.28,1.65,1.24,4.81,"1,756.06", ,0,129,9,3.1,37,6,31.5,38.76929855,246.5429993,0.604990005,-0.232717007,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
21,22,KW-YH-S-15,129.1508611,37.10875,7.37,6.1,0.87,5.01,714.77, ,0,129,9,3.1,37,6,31.5,38.76929855,246.5429993,0.604990005,-0.232717007,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
22,23,KW-YH-S-16,129.1435,37.11386111,4.5,10.69,0.215,9.71,337.5, ,0,129,8,36.6,37,6,49.9,50.09000015,307.6419983,-0.284633011,-1.456750035,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
23,24,KW-YH-S-17,129.1286944,37.10702778,5.45,10.56,11.01,82.4,"1,737.73", ,0,129,7,43.3,37,6,25.3,51.87939835,290.3819885,10.36730003,-0.336903006,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
24,25,KW-YH-S-18,129.1294722,37.10605556,8.05,16.47,6.735,17.49,"8,114.03", ,0,129,7,46.1,37,6,21.8,46.05179977,322.822998,-1.787739992,-0.802881002,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
25,26,KW-YH-S-19,129.13025,37.10463889,7.97,5.37,2.685,20.3,"2,632.80", ,0,129,7,48.9,37,6,16.7,45.27130127,342.3640137,-1.000040054,1.347380042,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
26,27,KW-YH-S-20,129.1320556,37.10427778,6.12,2.47,1.59,11.02,498.3, ,0,129,7,55.4,37,6,15.4,47.01919937,393.8049927,-0.065046698,-0.179914996,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
27,28,KW-YH-S-21,129.1320556,37.10427778,6.32,2.23,1.585,11.35,421.73, ,0,129,7,55.4,37,6,15.4,47.01919937,393.8049927,-0.065046698,-0.179914996,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
28,29,KW-YH-S-22,129.1332778,37.10305556,8.2,4.04,2.205,30.18,"1,021.73", ,0,129,7,59.8,37,6,11,43.38489914,449.1740112,-1.387240052,1.868000031,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
29,30,KW-YH-S-23,129.1353611,37.10311111,7.44,1.92,2.055,27.72,941.73, ,0,129,8,7.3,37,6,11.2,30.93470001,428.5050049,-0.055946998,3.487750053,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
30,31,KW-YH-S-24,129.14075,37.10311111,7.78,0.35,0.02,6.4,87.9, ,0,129,8,26.7,37,6,11.2,32.95909882,380.2619934,-0.470670998,0.337190002,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
31,32,KW-YH-S-25,129.1445,37.10405556,8.2,2.83,0.605,25.08,406.87, ,0,129,8,40.2,37,6,14.6,35.56330109,376.2049866,-1.02365005,0.628208995,SqE,SEONGIN,B,2,368,KOREA,1,A,0.5,0.5,37.65,27.2,42.2,30.6,0,0
32,33,KW-YH-S-26,129.1464722,37.10377778,8.22,1.47,0.145,14.13,230.93, ,0,129,8,47.3,37,6,13.6,42.94889832,392.3330078,-0.0153518,-0.54281801,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
33,34,KW-YH-S-27,129.1505,37.10705556,6.87,1.23,0.18,5.02,157.84, ,0,129,9,1.8,37,6,25.4,44.98740005,337.0830078,0.719434023,-6.284470081,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
34,35,KW-YH-S-28,129.1505,37.10705556,7.05,1.55,0.17,5.04,125.54, ,0,129,9,1.8,37,6,25.4,44.98740005,337.0830078,0.719434023,-6.284470081,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
35,36,KW-YH-S-29,129.1514722,37.10847222,8.05,1.03,0.825,14.1,1030.3, ,0,129,9,5.3,37,6,30.5,19.87829971,238.8220062,2.554529905,-1.894569993,SqE,SEONGIN,B,2,368,KOREA,1,A,0.5,0.5,37.65,27.2,42.2,30.6,0,0
36,37,KW-YH-S-30,129.1514722,37.10847222,8,2.76,0.93,13.21,1109.56, ,0,129,9,5.3,37,6,30.5,19.87829971,238.8220062,2.554529905,-1.894569993,SqE,SEONGIN,B,2,368,KOREA,1,A,0.5,0.5,37.65,27.2,42.2,30.6,0,0
37,38,KW-YH-S-31,129.1534444,37.11119444,7.44,4.08,3.065,31.12,1052.95, ,0,129,9,12.4,37,6,40.3,35.09680176,285.2139893,-0.659412026,-0.00535909,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
38,39,KW-YH-S-32,129.1550833,37.11122222,6.98,0.29,1.285,20.18,333.33, ,0,129,9,18.3,37,6,40.4,28.4008007,341.9400024,-1.491240025,0.609471977,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
39,40,KW-YH-S-33,129.1561389,37.11280556,6.28,1.46,0.245,9.69,107.23, ,0,129,9,22.1,37,6,46.1,11.19519997,219.0529938,1.803239942,-7.214029789,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
40,41,KW-YH-S-34,129.1568056,37.11491667,6.83,1.48,0.03,5.17,109.89, ,0,129,9,24.5,37,6,53.7,27.41469955,270.9769897,0.602154016,-2.438129902,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
41,42,KW-YH-S-35,129.1595278,37.11797222,6.29,1.58,0.41,13,162.84, ,0,129,9,34.3,37,7,4.7,9.586119652,340.4219971,-0.425422013,0.253289014,StC,SEOGTO,B,2,366,KOREA,1,B,0.5,0.5,65.01,24.8,58,17.2,35.8,0
42,43,KW-YH-S-38,129.1508611,37.10769444,5.72,1.49,0.12,2.85,76.55, ,0,129,9,3.1,37,6,27.7,33.2276001,308.2829895,0.461055011,2.250849962,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
43,44,KW-YH-S-39,129.1508611,37.10769444,5.91,3.06,2.815,19.79,680.94, ,0,129,9,3.1,37,6,27.7,33.2276001,308.2829895,0.461055011,2.250849962,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
44,45,KW-YH-S-40,129.1511944,37.10752778,7.08,0.36,0.13,3.26,108.84, ,0,129,9,4.3,37,6,27.1,45.58160019,287.6270142,-3.746639967,-1.847959995,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
45,46,KW-YH-S-41,129.1511944,37.10752778,7.21,0.45,0.56,4.77,453.34, ,0,129,9,4.3,37,6,27.1,45.58160019,287.6270142,-3.746639967,-1.847959995,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
46,47,KW-YH-S-42,129.1504444,37.10702778,6.99,1.37,0.205,4.53,165.67, ,0,129,9,1.6,37,6,25.3,45.52980042,344.29599,-0.353873014,-4.53441,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
47,48,KW-YH-S-43,129.1504444,37.10702778,6.97,2.46,0.165,3.36,141.26, ,0,129,9,1.6,37,6,25.3,45.52980042,344.29599,-0.353873014,-4.53441,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
48,49,KW-YH-S-44,129.1518889,37.10755556,6.2,0.28, ,3.76,58.01, ,0,129,9,6.8,37,6,27.2,34.22520065,261.45401,1.448959947,-2.194590092,SqE,SEONGIN,B,2,368,KOREA,1,A,0.5,0.5,37.65,27.2,42.2,30.6,0,0
49,50,KW-YH-S-45,129.1524722,37.10941667,7.58,1.49,0.705,7.78,505.17, ,0,129,9,8.9,37,6,33.9,31.98590088,301.3649902,0.451427996,1.019790053,BeD,BAEGSAN,B,2,335,KOREA,1,B,0.5,0.5,44.01,14.3,32.1,53.6,6.4,0
50,51,KW-YH-S-46,129.1540278,37.1115,7.43,9.78,5.48,28.63,"1,667.39", ,0,129,9,14.5,37,6,41.4,25.73410034,313.8059998,0.0590607,0.0901886,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
51,52,KW-YH-S-47,129.1540278,37.1115,7.89,5.32,3.36,21.1,"1,233.52", ,0,129,9,14.5,37,6,41.4,25.73410034,313.8059998,0.0590607,0.0901886,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
52,53,KW-YH-S-48,129.1541667,37.11119444,6.89,2.11,3.095,33.12,814.17, ,0,129,9,15,37,6,40.3,21.89870071,303.1149902,0.839191973,-1.142989993,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
53,54,KW-YH-S-49,129.1541667,37.11119444,6.79,2.65,1.605,17.94,515.85, ,0,129,9,15,37,6,40.3,21.89870071,303.1149902,0.839191973,-1.142989993,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
54,55,KW-YH-S-50,129.1545278,37.11141667,7.38,1.25,0.03,3.41,75.87, ,0,129,9,16.3,37,6,41.1,23.37820053,321.0369873,0.0952463,-0.577605009,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
55,56,KW-YH-S-51,129.1545278,37.11141667,7.28,0.46,0.13,4.15,138.82, ,0,129,9,16.3,37,6,41.1,23.37820053,321.0369873,0.0952463,-0.577605009,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
56,57,KW-YH-S-52,129.1554722,37.11147222,5.79,0.87,0.56,8.73,185.05, ,0,129,9,19.7,37,6,41.3,43.17580032,323.0379944,0.832370996,4.717870235,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
57,58,KW-YH-S-53,129.1554722,37.11147222,6.41,0.35,0.595,6.11,189.55, ,0,129,9,19.7,37,6,41.3,43.17580032,323.0379944,0.832370996,4.717870235,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
58,59,KW-YH-S-54,129.1557778,37.11183333,5.71,0.69,0.515,6.64,133.02, ,0,129,9,20.8,37,6,42.6,44.02550125,284.3129883,-2.737720013,3.429270029,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
59,60,KW-YH-S-55,129.1557778,37.11183333,6.43,1.37,0.58,6.61,157.77, ,0,129,9,20.8,37,6,42.6,44.02550125,284.3129883,-2.737720013,3.429270029,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
60,61,KW-YH-S-56,129.1556667,37.11197222,5.44,0.48,0.355,9.74,91.43, ,0,129,9,20.4,37,6,43.1,38.34170151,267.7520142,5.476419926,-5.490990162,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
61,62,KW-YH-S-57,129.1559167,37.11233333,6.11,1.44,0.365,5.94,112.43, ,0,129,9,21.3,37,6,44.4,35.37020111,253.2969971,0.925553024,1.066059947,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
62,63,KW-YH-S-58,129.1561389,37.11347222,7.06,0.67,0.09,3.36,114.02, ,0,129,9,22.1,37,6,48.5,38.31819916,221.3090057,3.346060038,-0.074651197,SqE,SEONGIN,B,2,368,KOREA,1,A,0.5,0.5,37.65,27.2,42.2,30.6,0,0
63,64,KW-YH-S-59,129.15675,37.11433333,8.72,0.26,0.065,2.48,122.18, ,0,129,9,24.3,37,6,51.6,30.36079979,276.7309875,-0.434004009,0.199175,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
64,65,KW-YH-S-60,129.15675,37.11433333,8.28,1.47,0.05,3.23,116.66, ,0,129,9,24.3,37,6,51.6,30.36079979,276.7309875,-0.434004009,0.199175,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
65,66,KW-YH-S-61,129.1574722,37.114,7.58,2.36,0.625,9.77,208.77, ,0,129,9,26.9,37,6,50.4,29.53549957,295.4769897,0.443212986,-0.531274021,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
66,67,KW-YH-S-62,129.1574722,37.114,7.86,1.36,0.475,7.08,168.82, ,0,129,9,26.9,37,6,50.4,29.53549957,295.4769897,0.443212986,-0.531274021,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
67,68,KW-YH-S-63,129.1575833,37.11497222,8.1,1.44,0.27,5.33,123.86, ,0,129,9,27.3,37,6,53.9,43.06980133,319.2049866,-0.920708001,-0.556450009,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
68,69,KW-YH-S-64,129.1576667,37.11602778,7.43,2.36,0.17,3.72,111.37, ,0,129,9,27.6,37,6,57.7,48.51720047,290.5690002,-0.944029987,0.048401698,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
69,70,KW-YH-S-65,129.157,37.11594444,5.86,2.59,0.19,2.34,152.2, ,0,129,9,25.2,37,6,57.4,19.6576004,247.1519928,0.943672001,-6.6738801,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
70,71,KW-YH-S-66,129.1591389,37.11730556,7.14,1.33,1,6.66,493.01, ,0,129,9,32.9,37,7,2.3,23.00279999,363.7669983,-0.722900987,0.347656012,StC,SEOGTO,B,2,366,KOREA,1,B,0.5,0.5,65.01,24.8,58,17.2,35.8,0
71,72,KW-YH-S-67,129.1595278,37.11927778,6.54,2.36,1.065,9.89,316.71, ,0,129,9,34.3,37,7,9.4,25.10070038,288.2489929,0.771120012,-0.084348902,StC,SEOGTO,B,2,366,KOREA,1,B,0.5,0.5,65.01,24.8,58,17.2,35.8,0
72,73,KW-YH-CS-01,129.1664167,37.11816667,5.91,0.46,0.095,3.6,90.7, ,0,129,9,59.1,37,7,5.4,24.09009933,273.7330017,-0.029381,4.19656992,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
73,74,KW-YH-CS-02,129.1664167,37.11816667,7.34,2.57,0.06,4.19,86.33, ,0,129,9,59.1,37,7,5.4,24.09009933,273.7330017,-0.029381,4.19656992,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
74,75,GG-NY-S-35,126.8716111,37.17444444,6.01,0.36,0.185,23.77,8.73, ,0,126,52,17.8,37,10,28,1.238809943,8.692890167,-0.257506996,0.0140614,Hh,HAMCHANG,D,4,565,KOREA,1,D,0.5,0.5,31.52,19.7,60.9,19.4,0,0
75,76,GG-NY-S-36,126.8658056,37.17038889,7.88,0.25,0.265,21.63,7.24, ,0,126,51,56.9,37,10,13.4,0.044906799,5.028079987,0.022520101,-0.00204468,Pe,POSEUNG,D,4,551,KOREA,1,D,0.5,0.5,49.49,15.7,49.2,35.1,0,0
76,77,GG-NY-S-37,126.8645833,37.16527778,7.17,0.55,0.205,27.17,6.57, ,0,126,51,52.5,37,9,55,7.30573988,23.04170036,-0.466672987,0.071046598,YaC2,YESAN,B,2,410,KOREA,1,A,0.5,0.5,13.68,15,35,50,11,0
77,78,GG-NY-PS-01,126.8931667,37.182,6.9, ,0.1,103,4.7, ,0,126,53,35.4,37,10,55.2,11.71790028,66.0821991,0.064520098,-1.041100025,OnD2,OSAN,B,2,414,KOREA,1,B,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0
78,79,GG-NY-PS-02,126.8896667,37.18102778,6.7, ,0.1,75.3,4.7, ,0,126,53,22.8,37,10,51.7,4.844230175,33.25749969,0.135381997,-0.278863013,SAB,SAMAM,B,2,361,KOREA,1,C,0.5,0.5,35.58,16.5,44.6,38.9,0,0
79,80,GG-NY-PS-03,126.8886667,37.18083333,6.3, ,0.1,79,6.3, ,0,126,53,19.2,37,10,51,3.785020113,28.26539993,0.076520197,-0.302522987,YaD2,YESAN,B,2,410,KOREA,1,A,0.5,0.5,13.68,15,35,50,11,0
80,81,GG-NY-S-01,126.8954722,37.18627778,8.48,2.26,0.1,247.17,1.64, ,0,126,53,43.7,37,11,10.6,15.95569992,88.71779633,-0.301389009,-0.323971987,SNE3,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
81,82,GG-NY-S-02,126.8948889,37.18513889,8.14,0.24,0.125,13.07,3.49, ,0,126,53,41.6,37,11,6.5,32.24840164,84.82219696,-0.164564997,0.275285006,SNE3,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
82,83,GG-NY-S-03,126.8966111,37.18513889,8.17,0.28,0.12,67.2,1.58, ,0,126,53,47.8,37,11,6.5,14.67650032,90.04429626,0.554351985,-0.106078997,YaD2,YESAN,B,2,410,KOREA,1,A,0.5,0.5,13.68,15,35,50,11,0
83,84,GG-NY-S-04,126.8963611,37.18488889,8.82,0.23,0.11,65.2,3.67, ,0,126,53,46.9,37,11,5.6,17.51849937,99.75559998,-0.258056015,-0.521178007,SNE2,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
84,85,GG-NY-S-05,126.8962778,37.18433333,7.72,1.46,0.1,29.47,1.83, ,0,126,53,46.6,37,11,3.6,19.3071003,109.2870026,-0.689310014,0.569845021,SNE2,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
85,86,GG-NY-S-06,126.8958889,37.18394444,6.54,0.24,0.155,6,2.12, ,0,126,53,45.2,37,11,2.2,18.60409927,115.4520035,-2.391700029,0.272083998,SNE2,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
86,87,GG-NY-S-07,126.8971667,37.18394444,6.38,0.37,0.17,5.73,1.25, ,0,126,53,49.8,37,11,2.2,15.35099983,97.9957962,-0.878021002,1.283419967,SNE2,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
87,88,GG-NY-S-08,126.8971667,37.18394444,7.82,0.23,0.12,33.1,2.77, ,0,126,53,49.8,37,11,2.2,15.35099983,97.9957962,-0.878021002,1.283419967,SNE2,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
88,89,GG-NY-S-09,126.8955,37.18361111,8.2,1.67,0.13,32.87,3.08, ,0,126,53,43.8,37,11,1,23.03359985,98.64219666,0.833598971,-2.432240009,SNE2,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
89,90,GG-NY-S-10,126.8948611,37.18327778,8.37,0.23,0.2,41.73,5.34, ,0,126,53,41.5,37,10,59.8,8.481080055,113.9260025,-0.958117008,1.806100011,SNE2,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
90,91,GG-NY-S-11,126.8938889,37.18305556,7.65,1.54,0.185,32.87,4.15, ,0,126,53,38,37,10,59,24.56360054,100.4169998,-0.867601991,1.041149974,SNE3,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
91,92,GG-NY-S-12,126.8938889,37.18305556,6.84,0.65,0.185,28.23,5.3, ,0,126,53,38,37,10,59,24.56360054,100.4169998,-0.867601991,1.041149974,SNE3,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
92,93,GG-NY-S-13,126.89325,37.18297222,7.24,0.33,0.135,21.27,2.04, ,0,126,53,35.7,37,10,58.7,19.90340042,96.61699677,-0.111570999,-0.331878006,SNE3,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
93,94,GG-NY-S-14,126.8926944,37.18297222,5.85,2.12,0.135,27.27,2.37, ,0,126,53,33.7,37,10,58.7,8.066289902,95.70400238,-0.511864007,2.427160025,SNE3,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
94,95,GG-NY-S-15,126.8926944,37.18297222,5.79,1.37,0.12,22.97,1.83, ,0,126,53,33.7,37,10,58.7,8.066289902,95.70400238,-0.511864007,2.427160025,SNE3,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
95,96,GG-NY-S-16,126.8923611,37.18263889,8.48,3.24,0.39,19.53,23.14, ,0,126,53,32.5,37,10,57.5,5.084449768,88.46880341,0.356054991,3.216069937,SNE3,SONGSAN,A,1,370,KOREA,1,A,0.5,0.5,10.17,17,25,58,8,0
