Cd_pred,Cd_real,Lon,Lan
0.093507166,0.048790164,128.8695556,37.39347222
0.082934016,0.131028262,127.7289167,37.43302778
0.043234322,0.099845335,128.8382778,37.47602778
0.251227689,0.194744077,128.8460278,37.47263889
0.104189031,0.009950331,128.8560556,37.46752778
0.078306436,0.019802627,127.4923056,37.80063889
0.074775047,0.072320662,128.0841667,37.82427778
0.048683586,0.076961041,128.2732222,37.37652778
0.324915988,0.099845335,127.2894722,37.16227778
0.082244857,0.131028262,126.8820278,37.18627778
0.06715339,0.014888612,127.4776389,37.41855556
0.385638915,0.371563556,127.3045833,37.17505556
0.27563464,0.262364264,127.7905,37.52405556
0.179104737,0.126632651,127.4944444,37.73686111
0.448623749,0.405465108,128.7930556,37.37508333
0.200690229,0.144100344,128.0933056,37.28222222
0.445872983,0.405465108,128.7925556,37.37411111
0.105056017,0.161268148,126.8880556,37.18155556
0.158871721,0.048790164,127.5000556,37.73572222
0.137894753,0.081579987,127.4906389,37.74088889
0.387891739,0.444685821,129.1541667,37.11119444
0.376845076,0.412109651,127.7813889,37.42736111
0.064375729,0.029558802,127.4853889,37.79761111
0.103664308,0.048790164,127.7810556,37.51197222
0.195757739,0.161268148,128.8525556,37.28030556
0.632651522,0.641853886,127.7743889,37.42505556
0.142878594,0.086177696,128.8731667,37.39483333
0.068046598,0.122217633,128.8771667,37.397
0.151862588,0.09531018,127.3029444,37.16638889
0.133727717,0.148420005,127.3032222,37.17372222
0.197806475,0.300104592,127.7808889,37.42597222
0.315863491,0.165514438,128.8464167,37.28316667
0.065525162,0.048790164,127.4818611,37.42211111
0.201752711,0.43502391,128.0853611,37.82266667
0.137155973,0.09531018,126.8810833,37.18669444
0.43778688,0.644482009,128.8628889,37.28102778
0.10316779,0.122217633,128.8748056,37.39627778
0.071216478,0.014888612,127.4784444,37.41805556
0.441857089,0.288931292,127.7695278,37.42544444
0.106423758,0.135404637,128.0837222,37.82397222
0.151577629,0.09531018,128.7880556,37.37336111
0.468650907,0.58221562,127.7768056,37.42505556
0.034492138,0.009950331,128.8430833,37.28516667
0.21850557,0.385262401,128.0910833,37.81836111
0.114787211,0.076961041,128.0995833,37.79836111
-0.031579257,0.024692613,127.7876667,37.53161111
0.107496535,0.09531018,127.3955833,37.79219444
0.535257636,0.795252403,127.7611944,37.40730556
0.080504383,0.103458708,127.4937778,37.73905556
0.160078819,0.103458708,127.4998333,37.73480556
0.209428909,0.152721087,128.1003611,37.79855556
0.416934461,0.473123757,129.14075,37.10311111
0.155600996,0.044016885,128.8601944,37.47066667
0.024901785,0.081579987,127.4906667,37.74280556
0.520700894,0.207014169,127.4878611,37.79886111
0.069212973,0.081579987,128.2732778,37.37672222
0.105250241,0.067658648,127.4897778,37.79927778
0.073470834,0.029558802,128.2768889,37.35772222
0.409607434,0.113328685,128.8070278,37.12511111
0.200807206,0.144100344,127.7951389,37.52216667
0.476768159,0.533565111,129.1504444,37.10702778
0.032987159,0.058268908,128.2737222,37.37594444
0.081232557,0.024692613,127.4846111,37.7985
-0.012739674,0.044016885,128.2753333,37.36272222
0.001960354,0.053540767,127.7577778,37.51544444
0.370141829,0.034401427,127.7895556,37.52702778
0.058365699,0.090754363,127.4897778,37.79927778
0.187612953,0.131028262,127.3973611,37.79383333
0.18466069,0.086177696,127.5007222,37.74
0.083190993,0.139761942,128.8652778,37.47761111
0.159343526,0.009950331,128.8711389,37.39255556
0.224583635,0.108854405,128.0829444,37.82552778
0.37983816,0.246860078,128.8635278,37.28330556
0.079978317,0.004987542,126.8886667,37.18191667
0.489036113,0.460584407,128.8109722,37.13119444
0.138407134,0.117783036,128.8099167,37.13869444
0.277537363,0.405465108,128.2741944,37.37230556
0.026669059,0.072320662,128.8109444,37.12927778
0.066051787,0.104360015,127.7323889,37.43233333
0.497659322,0.518793793,128.8112222,37.12988889
0.169414599,0.113328685,128.0833889,37.82430556
0.108600465,0.141499562,127.3752222,37.79727778
0.126056035,0.135404637,128.8615278,37.27852778
0.263158886,0.067658648,127.4912778,37.79886111
0.158456664,0.165514438,128.1003611,37.79855556
0.071373625,0.014888612,127.4885556,37.42077778
0.097554467,0.160416721,128.8565556,37.46775
0.075383705,0.09531018,127.5054444,37.73458333
0.104043061,0.044016885,127.4873889,37.79911111
0.091584815,0.148420005,127.4878611,37.79886111
0.074729048,0.044016885,127.4850556,37.79736111
0.299426633,0.122217633,128.0845833,37.82372222
0.488221223,0.258510695,128.86375,37.28169444
0.103611496,0.160416721,127.78925,37.52619444
0.133521555,0.182321557,127.7579444,37.51425
0.096601329,0.152721087,129.1511944,37.10752778
