OBJECTID_x,ID,start_lon,start_lan,pH,As,Cd,Ni,Pb,Zn,Hg,Lon,Lan,lon_degree,lon_minute,lon_sec,lan_degree,lan_minute,lan_sec
34,KW-YH-S-27,129.0646,37.0629,6.87,1.23,0.18,5.02,157.84,,0,129.1505,37.10705556,129,9,1.8,37,6,25.4
35,KW-YH-S-28,129.0646,37.0629,7.05,1.55,0.17,5.04,125.54,,0,129.1505,37.10705556,129,9,1.8,37,6,25.4
36,KW-YH-S-29,129.0646,37.0629,8.05,1.03,0.825,14.1,1030.3,,0,129.1514722,37.10847222,129,9,5.3,37,6,30.5
37,KW-YH-S-30,129.0646,37.0629,8,2.76,0.93,13.21,1109.56,,0,129.1514722,37.10847222,129,9,5.3,37,6,30.5
38,KW-YH-S-31,129.0646,37.0629,7.44,4.08,3.065,31.12,1052.95,,0,129.1534444,37.11119444,129,9,12.4,37,6,40.3
39,KW-YH-S-32,129.0646,37.0629,6.98,0.29,1.285,20.18,333.33,,0,129.1550833,37.11122222,129,9,18.3,37,6,40.4
40,KW-YH-S-33,129.0646,37.0629,6.28,1.46,0.245,9.69,107.23,,0,129.1561389,37.11280556,129,9,22.1,37,6,46.1
41,KW-YH-S-34,129.0646,37.0629,6.83,1.48,0.03,5.17,109.89,,0,129.1568056,37.11491667,129,9,24.5,37,6,53.7
42,KW-YH-S-35,129.0646,37.0629,6.29,1.58,0.41,13,162.84,,0,129.1595278,37.11797222,129,9,34.3,37,7,4.7
43,KW-YH-S-38,129.0646,37.0629,5.72,1.49,0.12,2.85,76.55,,0,129.1508611,37.10769444,129,9,3.1,37,6,27.7
44,KW-YH-S-39,129.0646,37.0629,5.91,3.06,2.815,19.79,680.94,,0,129.1508611,37.10769444,129,9,3.1,37,6,27.7
45,KW-YH-S-40,129.0646,37.0629,7.08,0.36,0.13,3.26,108.84,,0,129.1511944,37.10752778,129,9,4.3,37,6,27.1
46,KW-YH-S-41,129.0646,37.0629,7.21,0.45,0.56,4.77,453.34,,0,129.1511944,37.10752778,129,9,4.3,37,6,27.1
47,KW-YH-S-42,129.0646,37.0629,6.99,1.37,0.205,4.53,165.67,,0,129.1504444,37.10702778,129,9,1.6,37,6,25.3
48,KW-YH-S-43,129.0646,37.0629,6.97,2.46,0.165,3.36,141.26,,0,129.1504444,37.10702778,129,9,1.6,37,6,25.3
49,KW-YH-S-44,129.0646,37.0629,6.2,0.28,0.165,3.76,58.01,,0,129.1518889,37.10755556,129,9,6.8,37,6,27.2
50,KW-YH-S-45,129.0646,37.0629,7.58,1.49,0.705,7.78,505.17,,0,129.1524722,37.10941667,129,9,8.9,37,6,33.9
51,KW-YH-S-46,129.0646,37.0629,7.43,9.78,5.48,28.63,1667.39,,0,129.1540278,37.1115,129,9,14.5,37,6,41.4
52,KW-YH-S-47,129.0646,37.0629,7.89,5.32,3.36,21.1,1233.52,,0,129.1540278,37.1115,129,9,14.5,37,6,41.4
53,KW-YH-S-48,129.0646,37.0629,6.89,2.11,3.095,33.12,814.17,,0,129.1541667,37.11119444,129,9,15,37,6,40.3
54,KW-YH-S-49,129.0646,37.0629,6.79,2.65,1.605,17.94,515.85,,0,129.1541667,37.11119444,129,9,15,37,6,40.3
55,KW-YH-S-50,129.0646,37.0629,7.38,1.25,0.03,3.41,75.87,,0,129.1545278,37.11141667,129,9,16.3,37,6,41.1
56,KW-YH-S-51,129.0646,37.0629,7.28,0.46,0.13,4.15,138.82,,0,129.1545278,37.11141667,129,9,16.3,37,6,41.1
57,KW-YH-S-52,129.0646,37.0629,5.79,0.87,0.56,8.73,185.05,,0,129.1554722,37.11147222,129,9,19.7,37,6,41.3
58,KW-YH-S-53,129.0646,37.0629,6.41,0.35,0.595,6.11,189.55,,0,129.1554722,37.11147222,129,9,19.7,37,6,41.3
59,KW-YH-S-54,129.0646,37.0629,5.71,0.69,0.515,6.64,133.02,,0,129.1557778,37.11183333,129,9,20.8,37,6,42.6
60,KW-YH-S-55,129.0646,37.0629,6.43,1.37,0.58,6.61,157.77,,0,129.1557778,37.11183333,129,9,20.8,37,6,42.6
61,KW-YH-S-56,129.0646,37.0629,5.44,0.48,0.355,9.74,91.43,,0,129.1556667,37.11197222,129,9,20.4,37,6,43.1
62,KW-YH-S-57,129.0646,37.0629,6.11,1.44,0.365,5.94,112.43,,0,129.1559167,37.11233333,129,9,21.3,37,6,44.4
63,KW-YH-S-58,129.0646,37.0629,7.06,0.67,0.09,3.36,114.02,,0,129.1561389,37.11347222,129,9,22.1,37,6,48.5
64,KW-YH-S-59,129.0646,37.0629,8.72,0.26,0.065,2.48,122.18,,0,129.15675,37.11433333,129,9,24.3,37,6,51.6
65,KW-YH-S-60,129.0646,37.0629,8.28,1.47,0.05,3.23,116.66,,0,129.15675,37.11433333,129,9,24.3,37,6,51.6
66,KW-YH-S-61,129.0646,37.0629,7.58,2.36,0.625,9.77,208.77,,0,129.1574722,37.114,129,9,26.9,37,6,50.4
67,KW-YH-S-62,129.0646,37.0629,7.86,1.36,0.475,7.08,168.82,,0,129.1574722,37.114,129,9,26.9,37,6,50.4
68,KW-YH-S-63,129.0646,37.0629,8.1,1.44,0.27,5.33,123.86,,0,129.1575833,37.11497222,129,9,27.3,37,6,53.9
69,KW-YH-S-64,129.0646,37.0629,7.43,2.36,0.17,3.72,111.37,,0,129.1576667,37.11602778,129,9,27.6,37,6,57.7
70,KW-YH-S-65,129.0646,37.0629,5.86,2.59,0.19,2.34,152.2,,0,129.157,37.11594444,129,9,25.2,37,6,57.4
71,KW-YH-S-66,129.0646,37.0629,7.14,1.33,1,6.66,493.01,,0,129.1591389,37.11730556,129,9,32.9,37,7,2.3
72,KW-YH-S-67,129.0646,37.0629,6.54,2.36,1.065,9.89,316.71,,0,129.1595278,37.11927778,129,9,34.3,37,7,9.4
73,KW-YH-CS-01,129.0646,37.0629,5.91,0.46,0.095,3.6,90.7,,0,129.1664167,37.11816667,129,9,59.1,37,7,5.4
74,KW-YH-CS-02,129.0646,37.0629,7.34,2.57,0.06,4.19,86.33,,0,129.1664167,37.11816667,129,9,59.1,37,7,5.4
75,GG-NY-S-35,126.5343,37.111,6.01,0.36,0.185,23.77,8.73,,0,126.8716111,37.17444444,126,52,17.8,37,10,28
76,GG-NY-S-36,126.5343,37.111,7.88,0.25,0.265,21.63,7.24,,0,126.8658056,37.17038889,126,51,56.9,37,10,13.4
77,GG-NY-S-37,126.5343,37.111,7.17,0.55,0.205,27.17,6.57,,0,126.8645833,37.16527778,126,51,52.5,37,9,55
78,GG-NY-PS-01,126.5343,37.111,6.9,0.88,0.1,103,4.7,,0,126.8931667,37.182,126,53,35.4,37,10,55.2
79,GG-NY-PS-02,126.5343,37.111,6.7,0.88,0.1,75.3,4.7,,0,126.8896667,37.18102778,126,53,22.8,37,10,51.7
80,GG-NY-PS-03,126.5343,37.111,6.3,0.88,0.1,79,6.3,,0,126.8886667,37.18083333,126,53,19.2,37,10,51
81,GG-NY-S-01,126.5343,37.111,8.48,2.26,0.1,247.17,1.64,,0,126.8954722,37.18627778,126,53,43.7,37,11,10.6
82,GG-NY-S-02,126.5343,37.111,8.14,0.24,0.125,13.07,3.49,,0,126.8948889,37.18513889,126,53,41.6,37,11,6.5
83,GG-NY-S-03,126.5343,37.111,8.17,0.28,0.12,67.2,1.58,,0,126.8966111,37.18513889,126,53,47.8,37,11,6.5
84,GG-NY-S-04,126.5343,37.111,8.82,0.23,0.11,65.2,3.67,,0,126.8963611,37.18488889,126,53,46.9,37,11,5.6
85,GG-NY-S-05,126.5343,37.111,7.72,1.46,0.1,29.47,1.83,,0,126.8962778,37.18433333,126,53,46.6,37,11,3.6
86,GG-NY-S-06,126.5343,37.111,6.54,0.24,0.155,6,2.12,,0,126.8958889,37.18394444,126,53,45.2,37,11,2.2
87,GG-NY-S-07,126.5343,37.111,6.38,0.37,0.17,5.73,1.25,,0,126.8971667,37.18394444,126,53,49.8,37,11,2.2
88,GG-NY-S-08,126.5343,37.111,7.82,0.23,0.12,33.1,2.77,,0,126.8971667,37.18394444,126,53,49.8,37,11,2.2
89,GG-NY-S-09,126.5343,37.111,8.2,1.67,0.13,32.87,3.08,,0,126.8955,37.18361111,126,53,43.8,37,11,1
90,GG-NY-S-10,126.5343,37.111,8.37,0.23,0.2,41.73,5.34,,0,126.8948611,37.18327778,126,53,41.5,37,10,59.8
91,GG-NY-S-11,126.5343,37.111,7.65,1.54,0.185,32.87,4.15,,0,126.8938889,37.18305556,126,53,38,37,10,59
92,GG-NY-S-12,126.5343,37.111,6.84,0.65,0.185,28.23,5.3,,0,126.8938889,37.18305556,126,53,38,37,10,59
93,GG-NY-S-13,126.5343,37.111,7.24,0.33,0.135,21.27,2.04,,0,126.89325,37.18297222,126,53,35.7,37,10,58.7
94,GG-NY-S-14,126.5343,37.111,5.85,2.12,0.135,27.27,2.37,,0,126.8926944,37.18297222,126,53,33.7,37,10,58.7
95,GG-NY-S-15,126.5343,37.111,5.79,1.37,0.12,22.97,1.83,,0,126.8926944,37.18297222,126,53,33.7,37,10,58.7
96,GG-NY-S-16,126.5343,37.111,8.48,3.24,0.39,19.53,23.14,,0,126.8923611,37.18263889,126,53,32.5,37,10,57.5
97,GG-NY-S-17,126.5343,37.111,7.03,3.75,0.255,22.17,4.2,,0,126.8916944,37.18252778,126,53,30.1,37,10,57.1
98,GG-NY-S-18,126.5343,37.111,7.28,1.24,0.16,45.53,2.93,,0,126.8908889,37.18236111,126,53,27.2,37,10,56.5
99,GG-NY-S-19,126.5343,37.111,6.9,1.35,0.12,18.8,2.97,,0,126.8906944,37.18219444,126,53,26.5,37,10,55.9
100,GG-NY-S-20,126.5343,37.111,6.57,1.58,0.16,22.5,3.21,,0,126.8906944,37.18219444,126,53,26.5,37,10,55.9
101,GG-NY-S-21,126.5343,37.111,6.52,0.35,0.125,20.2,3.32,,0,126.8906944,37.18194444,126,53,26.5,37,10,55
102,GG-NY-S-22,126.5343,37.111,6.73,0.25,0.13,10.83,2.23,,0,126.8898611,37.18247222,126,53,23.5,37,10,56.9
103,GG-NY-S-23,126.5343,37.111,6.83,0.15,0.12,14.23,2.96,,0,126.8895556,37.18202778,126,53,22.4,37,10,55.3
104,GG-NY-S-24,126.5343,37.111,6.63,0.46,0.16,13.93,3.04,,0,126.8895556,37.18202778,126,53,22.4,37,10,55.3
105,GG-NY-S-25,126.5343,37.111,6.67,0.36,0.125,16.4,3.17,,0,126.8886667,37.18191667,126,53,19.2,37,10,54.9
106,GG-NY-S-26,126.5343,37.111,6.6,0.48,0.125,10.93,5.09,,0,126.8881389,37.18180556,126,53,17.3,37,10,54.5
107,GG-NY-S-27,126.5343,37.111,6.74,0.26,0.205,45.53,4.57,,0,126.8868889,37.18225,126,53,12.8,37,10,56.1
108,GG-NY-S-28,126.5343,37.111,5.52,0.64,0.105,34.13,2.49,,0,126.8868889,37.18225,126,53,12.8,37,10,56.1
109,GG-NY-S-29,126.5343,37.111,6.12,0.35,0.21,16.73,4.3,,0,126.8865278,37.18163889,126,53,11.5,37,10,53.9
110,GG-NY-S-30,126.5343,37.111,6.59,0.35,0.25,15.9,5.68,,0,126.8820278,37.18627778,126,52,55.3,37,11,10.6
111,GG-NY-S-31,126.5343,37.111,5.86,0.48,0.255,17.53,10.55,,0,126.8800833,37.18455556,126,52,48.3,37,11,4.4
112,GG-NY-S-32,126.5343,37.111,5.29,0.49,0.22,21.97,7.23,,0,126.8784444,37.18222222,126,52,42.4,37,10,56
113,GG-NY-S-33,126.5343,37.111,5.2,0.36,0.22,22.63,6.19,,0,126.8769722,37.18097222,126,52,37.1,37,10,51.5
114,GG-NY-S-34,126.5343,37.111,5.94,0.48,0.21,19.83,5.51,,0,126.8748611,37.18047222,126,52,29.5,37,10,49.7
115,GG-NY-S-38,126.5343,37.111,8.3,1.23,0.01,89.68,1.88,,0,126.8961389,37.18447222,126,53,46.1,37,11,4.1
116,GG-NY-S-39,126.5343,37.111,9.03,2.55,0.07,97.48,1.99,,0,126.8961389,37.18447222,126,53,46.1,37,11,4.1
117,GG-NY-S-40,126.5343,37.111,7.78,1.35,0.045,97,2.52,,0,126.896,37.18425,126,53,45.6,37,11,3.3
118,GG-NY-S-41,126.5343,37.111,7.93,0.28,0.005,76.84,2.59,,0,126.8943333,37.18344444,126,53,39.6,37,11,0.4
119,GG-NY-S-42,126.5343,37.111,6.26,0.56,0.05,41.25,5.06,,0,126.8934444,37.18325,126,53,36.4,37,10,59.7
120,GG-NY-S-43,126.5343,37.111,7.65,0.25,0.07,27.58,3.73,,0,126.8934444,37.18325,126,53,36.4,37,10,59.7
121,GG-NY-S-44,126.5343,37.111,9.07,0.26,0.41,42.22,26.48,,0,126.8928056,37.18291667,126,53,34.1,37,10,58.5
122,GG-NY-S-45,126.5343,37.111,6.74,0.46,0.14,38.72,1.7,,0,126.8918056,37.18297222,126,53,30.5,37,10,58.7
123,GG-NY-S-46,126.5343,37.111,6.98,0.35,0.005,133.47,2.16,,0,126.8913333,37.18275,126,53,28.8,37,10,57.9
124,GG-NY-S-47,126.5343,37.111,6.26,0.74,0.02,39.98,2.76,,0,126.8911944,37.18247222,126,53,28.3,37,10,56.9
125,GG-NY-S-48,126.5343,37.111,6.02,0.44,0.14,38.73,2.55,,0,126.8911944,37.18247222,126,53,28.3,37,10,56.9
126,GG-NY-S-49,126.5343,37.111,7.37,1.37,0.005,25.28,2.48,,0,126.8898611,37.18280556,126,53,23.5,37,10,58.1
127,GG-NY-S-50,126.5343,37.111,6.8,0.23,0.05,42.52,2.76,,0,126.8897778,37.18202778,126,53,23.2,37,10,55.3
128,GG-NY-S-51,126.5343,37.111,5.89,1.35,0.065,23.8,4.72,,0,126.8886389,37.18097222,126,53,19.1,37,10,51.5
129,GG-NY-S-52,126.5343,37.111,5.92,0.79,0.065,39.46,2.74,,0,126.8884167,37.18052778,126,53,18.3,37,10,49.9
130,GG-NY-S-53,126.5343,37.111,5.62,0.36,0.085,46.41,3.99,,0,126.8880556,37.18155556,126,53,17,37,10,53.6
131,GG-NY-S-54,126.5343,37.111,6,1.36,0.14,32.09,4.94,,0,126.8864722,37.18175,126,53,11.3,37,10,54.3
132,GG-NY-S-55,126.5343,37.111,6.81,1.25,0.09,25.09,5.21,,0,126.8856111,37.18236111,126,53,8.2,37,10,56.5
133,GG-NY-S-56,126.5343,37.111,6.88,0.65,0.145,26.3,5.13,,0,126.8856111,37.18236111,126,53,8.2,37,10,56.5
134,GG-NY-S-57,126.5343,37.111,7.31,1.34,0.18,27.05,4.41,,0,126.8848056,37.18227778,126,53,5.3,37,10,56.2
135,GG-NY-S-58,126.5343,37.111,5.92,1.47,0.285,32.29,4.81,,0,126.8848056,37.18227778,126,53,5.3,37,10,56.2
136,GG-NY-S-59,126.5343,37.111,6.22,0.87,0.095,48.16,5.76,,0,126.8844444,37.18308333,126,53,4,37,10,59.1
137,GG-NY-S-60,126.5343,37.111,5.77,0.25,0.05,36.57,3.68,,0,126.8842778,37.18411111,126,53,3.4,37,11,2.8
138,GG-NY-S-61,126.5343,37.111,5.86,0.57,0.14,33.22,3.65,,0,126.8810833,37.18669444,126,52,51.9,37,11,12.1
139,GG-NY-S-62,126.5343,37.111,5.27,0.35,0.105,29.23,5.59,,0,126.8803889,37.18611111,126,52,49.4,37,11,10
140,GG-NY-S-63,126.5343,37.111,4.95,1.76,0.15,31.94,4.84,,0,126.8805278,37.18625,126,52,49.9,37,11,10.5
141,GG-NY-S-64,126.5343,37.111,5.19,1.35,0.085,31.92,9.68,,0,126.8786667,37.18380556,126,52,43.2,37,11,1.7
142,GG-NY-S-65,126.5343,37.111,6.25,0.87,0.22,31.16,5.26,,0,126.8766389,37.18161111,126,52,35.9,37,10,53.8
143,GG-NY-S-66,126.5343,37.111,6.78,1.36,0.245,34.57,9.08,,0,126.8755556,37.18066667,126,52,32,37,10,50.4
144,GG-NY-S-67,126.5343,37.111,6.66,1.56,0.245,30.28,11.21,,0,126.8755556,37.18066667,126,52,32,37,10,50.4
145,GG-NY-CS-01,126.5343,37.111,6.56,1.25,0.115,35.43,1.87,,0,126.8899722,37.18352778,126,53,23.9,37,11,0.7
146,GG-NY-CS-02,126.5343,37.111,6.55,1.35,0.1,34.3,1.67,,0,126.8899722,37.18352778,126,53,23.9,37,11,0.7
147,GG-NY-CS-04,126.5343,37.111,8.64,0.88,0.18,232.86,0.93,,0,126.8950278,37.18616667,126,53,42.1,37,11,10.2
148,GG-NY-CS-03,126.5343,37.111,6.56,0.65,0.34,45.73,9.74,,0,126.8613611,37.20572222,126,51,40.9,37,12,20.6
149,GG-GY-PS-01,127.1749,37.101,5.8,1.02,0.12,3.4,,,0,127.2990833,37.17125,127,17,56.7,37,10,16.5
150,GG-GY-PS-02,127.1749,37.101,6,1.02,0.1,5.9,,,0,127.3032222,37.17372222,127,18,11.6,37,10,25.4
151,GG-GY-PS-03,127.1749,37.101,5.8,1.02,0.1,5.9,,,0,127.3049167,37.17708333,127,18,17.7,37,10,37.5
152,GG-GY-S-01,127.1749,37.101,4.15,1.24,0.175,9.78,,,0,127.2969444,37.16944444,127,17,49,37,10,10
153,GG-GY-S-02,127.1749,37.101,4.33,0.65,0.06,8.34,,,0,127.2969444,37.16916667,127,17,49,37,10,9
154,GG-GY-S-03,127.1749,37.101,5,0.54,0.13,7.02,,,0,127.2983333,37.17138889,127,17,54,37,10,17
155,GG-GY-S-04,127.1749,37.101,5.12,1.47,0.2,6.67,,,0,127.2983333,37.17138889,127,17,54,37,10,17
156,GG-GY-S-05,127.1749,37.101,4.6,1.36,0.08,4.89,,,0,127.3021944,37.16797222,127,18,7.9,37,10,4.7
157,GG-GY-S-06,127.1749,37.101,5.84,0.47,0.12,8.99,,,0,127.30275,37.16761111,127,18,9.9,37,10,3.4
158,GG-GY-S-07,127.1749,37.101,5.59,0.95,0.085,5.35,,,0,127.3029444,37.16638889,127,18,10.6,37,9,59
159,GG-GY-S-08,127.1749,37.101,6.41,1.58,0.145,5.86,,,0,127.3029444,37.16638889,127,18,10.6,37,9,59
160,GG-GY-S-09,127.1749,37.101,5.46,1.35,0.145,3.55,,,0,127.3044444,37.16619444,127,18,16,37,9,58.3
161,GG-GY-S-10,127.1749,37.101,4.6,2.67,0.085,5.86,,,0,127.3058333,37.16619444,127,18,21,37,9,58.3
162,GG-GY-S-11,127.1749,37.101,5.35,1.14,0.1,7.25,,,0,127.3075556,37.16519444,127,18,27.2,37,9,54.7
163,GG-GY-S-12,127.1749,37.101,5.45,2.24,0.075,6.56,,,0,127.3075556,37.16519444,127,18,27.2,37,9,54.7
164,GG-GY-S-13,127.1749,37.101,5.52,0.44,0.065,6.47,,,0,127.3068889,37.16411111,127,18,24.8,37,9,50.8
165,GG-GY-S-14,127.1749,37.101,5.52,0.35,0.09,6.22,,,0,127.3087778,37.16411111,127,18,31.6,37,9,50.8
166,GG-GY-S-15,127.1749,37.101,4.57,1.46,0.2,5.81,,,0,127.3155556,37.15905556,127,18,56,37,9,32.6
167,GG-GY-S-16,127.1749,37.101,5.42,1.23,0.13,5.76,,,0,127.3133611,37.15494444,127,18,48.1,37,9,17.8
168,GG-GY-S-17,127.1749,37.101,6.16,0.67,0.095,2.57,,,0,127.3140556,37.14727778,127,18,50.6,37,8,50.2
169,GG-GY-S-18,127.1749,37.101,5.61,0.37,0.06,5.21,,,0,127.3036111,37.16861111,127,18,13,37,10,7
170,GG-GY-S-19,127.1749,37.101,5.23,1.54,0.13,6.3,,,0,127.3025,37.17013889,127,18,9,37,10,12.5
171,GG-GY-S-20,127.1749,37.101,6.24,1.24,0.135,5.48,,,0,127.2985833,37.17105556,127,17,54.9,37,10,15.8
172,GG-GY-S-21,127.1749,37.101,6.06,0.47,0.11,5.27,,,0,127.2974167,37.17205556,127,17,50.7,37,10,19.4
173,GG-GY-S-22,127.1749,37.101,5.33,0.56,0.095,5.39,,,0,127.2989167,37.17247222,127,17,56.1,37,10,20.9
174,GG-GY-S-23,127.1749,37.101,5.36,1.35,0.105,4.67,,,0,127.2989167,37.17247222,127,17,56.1,37,10,20.9
175,GG-GY-S-24,127.1749,37.101,5.2,0.87,0.16,4.59,,,0,127.3006111,37.17261111,127,18,2.2,37,10,21.4
176,GG-GY-S-25,127.1749,37.101,5.1,0.47,0.37,9.36,,,0,127.3018889,37.17241667,127,18,6.8,37,10,20.7
177,GG-GY-S-26,127.1749,37.101,5.38,1.35,0.14,4.8,,,0,127.3014722,37.17286111,127,18,5.3,37,10,22.3
178,GG-GY-S-27,127.1749,37.101,4.98,0.24,0.16,6.43,,,0,127.3018056,37.17330556,127,18,6.5,37,10,23.9
179,GG-GY-S-28,127.1749,37.101,4.92,1.47,0.09,4.38,,,0,127.3047222,37.17327778,127,18,17,37,10,23.8
180,GG-GY-S-29,127.1749,37.101,5.8,0.28,0.165,3.09,,,0,127.3047222,37.17327778,127,18,17,37,10,23.8
181,GG-GY-S-30,127.1749,37.101,5.57,0.57,0.14,5.79,,,0,127.3045833,37.17505556,127,18,16.5,37,10,30.2
182,GG-GY-S-31,127.1749,37.101,5.5,0.35,0.205,9.22,,,0,127.3045833,37.17505556,127,18,16.5,37,10,30.2
183,GG-GY-S-32,127.1749,37.101,5.08,0.35,0.09,4.25,,,0,127.30525,37.17477778,127,18,18.9,37,10,29.2
184,GG-GY-S-33,127.1749,37.101,5.76,0.07,0.035,5.05,,,0,127.3066111,37.17777778,127,18,23.8,37,10,40
185,GG-GY-S-34,127.1749,37.101,6.02,1.68,0.31,4.94,,,0,127.30775,37.18052778,127,18,27.9,37,10,49.9
186,GG-GY-S-35,127.1749,37.101,5.73,1.47,0.105,6.18,,,0,127.3102778,37.182,127,18,37,37,10,55.2
187,GG-GY-S-36,127.1749,37.101,5.24,0.59,0.085,3.01,,,0,127.3138611,37.17263889,127,18,49.9,37,10,21.5
188,GG-GY-S-37,127.1749,37.101,5.18,2.47,0.07,7.17,,,0,127.3245278,37.17233333,127,19,28.3,37,10,20.4
189,GG-GY-CS-01,127.1749,37.101,5.62,1.35,0.1,4.61,,,0,127.2894722,37.16227778,127,17,22.1,37,9,44.2
190,GG-GY-CS-02,127.1749,37.101,5.18,1.46,0.005,4.29,,,0,127.2894722,37.16227778,127,17,22.1,37,9,44.2
191,GG-GY-CS-03,127.1749,37.101,4.72,0.57,0.045,4.05,,,0,127.2895556,37.15105556,127,17,22.4,37,9,3.8
192,KW-SK-PS-01,128.4836,37.0751,5.3,24.5,0.5,2.5,120,,0,128.8078056,37.12691667,128,48,28.1,37,7,36.9
193,KW-SK-PS-02,128.4836,37.0751,7.9,35.9,0.1,0.5,100,,0,128.8034444,37.12544444,128,48,12.4,37,7,31.6
194,KW-SK-PS-03,128.4836,37.0751,6.8,0.2,0.1,0.6,40.7,,0,128.7945833,37.12372222,128,47,40.5,37,7,25.4
