OBJECTID_x,ID,pH,As,Cd,Ni,Pb,Zn,Hg,slope,altitude,profile_curve,profile_c_num,profile_c_abs,planform_curve,planform_c_num,planform_c_abs,HYDGRP,HYDGRP_A,HYDGRP_B,HYDGRP_C,HYDGRP_D,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1,distance
642,GG-DMD-S-7,6.06,2.17,0.915,3.76,,,0,17.28300095,348.5899963,1.656710029,1.656710029,1,-0.680207014,0.680207014,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.75570853
643,GG-DMD-S-8,6.07,0.92,1.215,1.1,,,0,17.28300095,348.5899963,1.656710029,1.656710029,1,-0.680207014,0.680207014,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.75570853
644,GG-DMD-S-9,5.9,2.32,0.035,0.95,,,0,13.9691,338.7850037,-0.019332699,0.019332699,0,-1.477949977,1.477949977,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.75244674
645,GG-DMD-S-10,5.11,1.49,0.152,1.32,,,0,19.72669983,325.3380127,0.784382999,0.784382999,1,0.023396701,0.023396701,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.73870129
646,GG-DMD-S-11,5.62,1.63,0.16,2.08,,,0,9.647830009,318.4909973,0.236939996,0.236939996,1,0.382568985,0.382568985,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.72327544
647,GG-DMD-S-12,5.41,1.93,0.035,1.14,,,0,10.82330036,301.3299866,-0.128114,0.128114,0,-0.071961902,0.071961902,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.64330093
648,GG-DMD-S-13,5.23,1.96,0.152,1.05,,,0,10.82330036,301.3299866,-0.128114,0.128114,0,-0.071961902,0.071961902,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.64330093
649,GG-DMD-S-14,5.35,1.65,0.055,1.55,,,0,14.06639957,295.3540039,0.199456006,0.199456006,1,0.160271004,0.160271004,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.60812061
650,GG-DMD-S-15,5.53,2.08,0.12,2.2,,,0,18.69260025,286.7909851,0.453574985,0.453574985,1,0.154379994,0.154379994,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.57203838
651,GG-DMD-S-16,5.27,1.57,0.115,1.45,,,0,18.69260025,286.7909851,0.453574985,0.453574985,1,0.154379994,0.154379994,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.57203838
652,GG-DMD-S-17,6.31,1.88,0.035,0.84,,,0,12.32820034,266.4440002,-0.165604994,0.165604994,0,0.0106644,0.0106644,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.50052072
653,GG-DMD-S-18,4.98,1.31,0.06,3.83,,,0,10.82649994,249.8190002,0.168688998,0.168688998,1,-0.313915998,0.313915998,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.43679232
654,GG-DMD-S-19,5.21,1.72,0.152,0.15,,,0,10.82649994,249.8190002,0.168688998,0.168688998,1,-0.313915998,0.313915998,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.43679232
655,GG-DMD-S-20,5.07,2.22,0.152,0.4,,,0,15.34039974,233.2359924,-0.051690102,0.051690102,0,-0.617913008,0.617913008,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.36733949
656,GG-DMD-S-21,6.13,1.32,0.152,0,,,0,12.49090004,221.279007,-0.212507993,0.212507993,0,0.0256512,0.0256512,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.34062482
